Name	Formula	KEGG_ID	CHEBI_ID	MW	Group	class	cFlux_l	Pburden	ecModel	internal_ids
L-phenylacetylcarbinol 	C9H10O2	NA	NA	150.174	heterologous	alcohol	1.000001	0.014792885	ecL_PAC.mat	l_pac
n-butanol 	C4H10O	C06142	28885	74.23	heterologous	alcohol	1.000001	0.103616368	ecn-Butanol.mat	n_butanol
docosanol 	C22H46O	D03884	31000	326.61	heterologous	alcohol	1.000001	0.103616368	ecDocosanol.mat	docosanol
"(R,R)-2,3-butanediol "	C4H10O2	C03044	16982	90.121	native	alcohol	1.000001	0.015256105	"ecR,R-2,3-butanediol.mat"	rrbutanediol
2-phenylethanol 	C8H10O	C05853	49000	122.1644	native	alcohol	1.000001	0.022914826	ec2-phenylethanol.mat	phenylethanol
glycerol 	C3H8O3	C00116	17754	92.09382	native	alcohol	1.000001	0.020257565	ecGlycerol.mat	glycerol
isoamylol 	C5H12O	C07328	15837	88.14818	native	alcohol	1.000001	0.021304922	ec3-methylbutanol.mat	methylbutanol
isobutanol 	C4H10O	C14710	46645	74.1216	native	alcohol	1.000001	0.019170236	ecIsobutanol.mat	isobutanol
(S)-Reticuline 	C19H23NO4	C02105	16718	329.39	heterologous	alkaloid	1.000001	0.103616368	ecS_reticuline.mat	s_reticuline
psilocybin 	C12H17N2O4P	C07576	8614	284.248101	heterologous	alkaloid	1.000001	0.103616368	ecPsilocybin.mat	psilocybin
cinnamoyltropine	C17H22ClNO2	NA	NA	307.82	heterologous	alkaloid	1.000001	0.103616368	ecCinnamoyltropine.mat	cinnamoyltropine
choline 	C5H14NO	C00114	15354	104.1708	native	alkaloid	1.000001	0.103616368	ecCholine.mat	choline
hypoxanthine 	C5H4N4O	C00262	17368	136.11162	native	alkaloid	1.000001	0.060841956	ecHypoxanthine.mat	hypoxanthine
xanthine 	C5H4N4O2	C00385	17712	152.11102	native	alkaloid	1.000001	0.081692813	ecXanthine.mat	xanthine
Nicotianamine 	C12H21N3O6	C05324	17721	303.3116	heterologous	amino acid	1.000001	0.103616368	ecNicotianamine.mat	nicotianamine
ergothioneine	C9H15N3O2S	C05570	4828	229.3	heterologous	amino acid	1.000001	0.103616368	ecErgothioneine.mat	ergothioneine
glutathione 	C10H17N3O6S	C00051	16856	307.32	native	amino acid	1.000001	0.023403737	ecGlutathione.mat	glutathione
